epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6360294222831726,0.0010000000474974513,0.9797245264053345,0.848739504814148,0.42011454701423645
1,0.8912814855575562,0.0010000000474974513,0.32739049196243286,0.9054622054100037,0.2865481674671173
2,0.904411792755127,0.0010000000474974513,0.2803972363471985,0.8571428656578064,0.3905676603317261
3,0.9201680421829224,0.0010000000474974513,0.24741777777671814,0.9327731132507324,0.18035270273685455
4,0.9422268867492676,0.0010000000474974513,0.17059165239334106,0.9558823704719543,0.175153449177742
5,0.950630247592926,0.0010000000474974513,0.14729620516300201,0.9369747638702393,0.16400954127311707
6,0.9585084319114685,0.0010000000474974513,0.12411433458328247,0.9348739385604858,0.28641483187675476
7,0.9490545988082886,0.0010000000474974513,0.15049846470355988,0.930672287940979,0.1833575963973999
8,0.9700630307197571,0.0010000000474974513,0.11005309969186783,0.9642857313156128,0.08730341494083405
9,0.973739504814148,0.0010000000474974513,0.08299636095762253,0.9558823704719543,0.1086982786655426
10,0.9784663915634155,0.0010000000474974513,0.06364617496728897,0.9642857313156128,0.11595991998910904
11,0.9826680421829224,0.0010000000474974513,0.05950143188238144,0.970588207244873,0.10245133191347122
12,0.9873949289321899,0.0010000000474974513,0.03691411390900612,0.9768907427787781,0.08386072516441345
13,0.9847689270973206,0.0010000000474974513,0.04298141598701477,0.9579831957817078,0.13517676293849945
14,0.9747899174690247,0.0010000000474974513,0.07531795650720596,0.9768907427787781,0.07312119007110596
15,0.9863445162773132,0.0010000000474974513,0.041349731385707855,0.9663865566253662,0.1154761090874672
16,0.9784663915634155,0.0010000000474974513,0.060836054384708405,0.9579831957817078,0.13381895422935486
17,0.9821428656578064,0.0010000000474974513,0.053420208394527435,0.9726890921592712,0.07753592729568481
18,0.9879201650619507,0.0010000000474974513,0.04068252071738243,0.9747899174690247,0.0907788798213005
19,0.9852941036224365,0.0010000000474974513,0.04446833208203316,0.9579831957817078,0.17157968878746033
